INFO2023-01-11 17:02:47,190 basehttp 4696  13460 "GET /index/ HTTP/1.1" 200 8
DEBUG2023-01-11 18:08:13,271 autoreload 10784  13676 File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\codecs.py first seen with mtime 1659371368.0
DEBUG2023-01-11 18:08:13,272 autoreload 10784  13676 File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\mimetypes.py first seen with mtime 1659371368.0
DEBUG2023-01-11 18:08:13,272 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\views\decorators\common.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,272 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\core\mail\utils.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,272 autoreload 10784  13676 File C:\Users\Admin\AppData\Local\Programs\Python\Python310\DLLs\_decimal.pyd first seen with mtime 1659371398.0
DEBUG2023-01-11 18:08:13,272 autoreload 10784  13676 File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\email\charset.py first seen with mtime 1659371368.0
DEBUG2023-01-11 18:08:13,272 autoreload 10784  13676 File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\contextlib.py first seen with mtime 1659371368.0
DEBUG2023-01-11 18:08:13,272 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\template\response.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,272 autoreload 10784  13676 File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\ctypes\_endian.py first seen with mtime 1659371368.0
DEBUG2023-01-11 18:08:13,273 autoreload 10784  13676 File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\asyncio\proactor_events.py first seen with mtime 1659371368.0
DEBUG2023-01-11 18:08:13,273 autoreload 10784  13676 File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\asyncio\threads.py first seen with mtime 1659371368.0
DEBUG2023-01-11 18:08:13,273 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\contrib\contenttypes\views.py first seen with mtime 1642412370.0
DEBUG2023-01-11 18:08:13,273 autoreload 10784  13676 File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\asyncio\constants.py first seen with mtime 1659371368.0
DEBUG2023-01-11 18:08:13,273 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\db\models\expressions.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,273 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,273 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\db\backends\sqlite3\operations.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,273 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\contrib\admin\views\main.py first seen with mtime 1642412368.0
DEBUG2023-01-11 18:08:13,274 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\db\utils.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,274 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,274 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\template\backends\django.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,274 autoreload 10784  13676 File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\uu.py first seen with mtime 1659371368.0
DEBUG2023-01-11 18:08:13,274 autoreload 10784  13676 File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\asyncio\format_helpers.py first seen with mtime 1659371368.0
DEBUG2023-01-11 18:08:13,274 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\utils\safestring.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,274 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\contrib\contenttypes\__init__.py first seen with mtime 1642412370.0
DEBUG2023-01-11 18:08:13,275 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\views\decorators\cache.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,275 autoreload 10784  13676 File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\dataclasses.py first seen with mtime 1659371368.0
DEBUG2023-01-11 18:08:13,275 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\core\handlers\__init__.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,275 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\db\migrations\state.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,275 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\contrib\admin\views\__init__.py first seen with mtime 1642412368.0
DEBUG2023-01-11 18:08:13,275 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1642412368.0
DEBUG2023-01-11 18:08:13,275 autoreload 10784  13676 File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\email\encoders.py first seen with mtime 1659371368.0
DEBUG2023-01-11 18:08:13,275 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\asgiref\sync.py first seen with mtime 1642412366.0
DEBUG2023-01-11 18:08:13,276 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1642412366.0
DEBUG2023-01-11 18:08:13,276 autoreload 10784  13676 File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\glob.py first seen with mtime 1659371368.0
DEBUG2023-01-11 18:08:13,276 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\db\migrations\migration.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,276 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,276 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1642412366.0
DEBUG2023-01-11 18:08:13,276 autoreload 10784  13676 File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\asyncio\sslproto.py first seen with mtime 1659371368.0
DEBUG2023-01-11 18:08:13,277 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\db\transaction.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,277 autoreload 10784  13676 File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\sre_parse.py first seen with mtime 1659371368.0
DEBUG2023-01-11 18:08:13,277 autoreload 10784  13676 File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\asyncio\events.py first seen with mtime 1659371368.0
DEBUG2023-01-11 18:08:13,277 autoreload 10784  13676 File C:\Users\Admin\AppData\Local\Programs\Python\Python310\DLLs\_lzma.pyd first seen with mtime 1659371398.0
DEBUG2023-01-11 18:08:13,277 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\templatetags\cache.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,277 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,277 autoreload 10784  13676 File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\unittest\loader.py first seen with mtime 1659371368.0
DEBUG2023-01-11 18:08:13,277 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\http\request.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,278 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\core\checks\security\__init__.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,278 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\db\models\functions\datetime.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,278 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\db\models\sql\__init__.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,278 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\core\files\locks.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,278 autoreload 10784  13676 File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\asyncio\runners.py first seen with mtime 1659371368.0
DEBUG2023-01-11 18:08:13,278 autoreload 10784  13676 File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\email\generator.py first seen with mtime 1659371368.0
DEBUG2023-01-11 18:08:13,278 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,278 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,279 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\test_project\students\admin.py first seen with mtime 1643103080.0
DEBUG2023-01-11 18:08:13,279 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1642412368.0
DEBUG2023-01-11 18:08:13,279 autoreload 10784  13676 File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\email\mime\message.py first seen with mtime 1659371368.0
DEBUG2023-01-11 18:08:13,279 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\utils\functional.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,279 autoreload 10784  13676 File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\wsgiref\headers.py first seen with mtime 1659371368.0
DEBUG2023-01-11 18:08:13,279 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\db\backends\sqlite3\creation.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,280 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\core\checks\security\base.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,280 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\utils\log.py first seen with mtime 1642412374.0
DEBUG2023-01-11 18:08:13,280 autoreload 10784  13676 File C:\Users\Admin\Desktop\django_project\env\Lib\site-packages\django\contrib\staticfiles\management\commands\__init__.py first seen with mtime 1642412374.0
